id,nama_kabupaten,provinsi_id
1,Badung,1
2,Bangli,1
3,Buleleng,1
4,Denpasar,1
5,Gianyar,1
6,Jembrana,1
7,Karangasem,1
8,Klungkung,1
9,Tabanan,1
10,Bangka,2
11,Bangka Barat,2
12,Bangka Selatan,2
13,Bangka Tengah,2
14,Belitung,2
15,Belitung Timur,2
16,Pangkal Pinang,2
17,Cilegon,3
18,Lebak,3
19,Pandeglang,3
20,Serang,3
21,Tangerang,3
22,Tangerang Selatan,3
23,Bengkulu,4
24,Bengkulu Selatan,4
25,Bengkulu Tengah,4
26,Bengkulu Utara,4
27,Kaur,4
28,Kepahiang,4
29,Lebong,4
30,Muko Muko,4
31,Rejang Lebong,4
32,Seluma,4
33,Bantul,5
34,Gunung Kidul,5
35,Kulon Progo,5
36,Sleman,5
37,Yogyakarta,5
38,Jakarta Barat,6
39,Jakarta Pusat,6
40,Jakarta Selatan,6
41,Jakarta Timur,6
42,Jakarta Utara,6
43,Kepulauan Seribu,6
44,Boalemo,7
45,Bone Bolango,7
46,Gorontalo,7
47,Gorontalo Utara,7
48,Pohuwato,7
49,Batang Hari,8
50,Bungo,8
51,Jambi,8
52,Kerinci,8
53,Merangin,8
54,Muaro Jambi,8
55,Sarolangun,8
56,Sungaipenuh,8
57,Tanjung Jabung Barat,8
58,Tanjung Jabung Timur,8
59,Tebo,8
60,Bandung,9
61,Bandung Barat,9
62,Banjar,9
63,Bekasi,9
64,Bogor,9
65,Ciamis,9
66,Cianjur,9
67,Cimahi,9
68,Cirebon,9
69,Depok,9
70,Garut,9
71,Indramayu,9
72,Karawang,9
73,Kuningan,9
74,Majalengka,9
75,Pangandaran,9
76,Purwakarta,9
77,Subang,9
78,Sukabumi,9
79,Sumedang,9
80,Tasikmalaya,9
81,Banjarnegara,10
82,Banyumas,10
83,Batang,10
84,Blora,10
85,Boyolali,10
86,Brebes,10
87,Cilacap,10
88,Demak,10
89,Grobogan,10
90,Jepara,10
91,Karanganyar,10
92,Kebumen,10
93,Kendal,10
94,Klaten,10
95,Kudus,10
96,Magelang,10
97,Pati,10
98,Pekalongan,10
99,Pemalang,10
100,Purbalingga,10
101,Purworejo,10
102,Rembang,10
103,Salatiga,10
104,Semarang,10
105,Sragen,10
106,Sukoharjo,10
107,Surakarta,10
108,Tegal,10
109,Temanggung,10
110,Wonogiri,10
111,Wonosobo,10
112,Bangkalan,11
113,Banyuwangi,11
114,Batu,11
115,Blitar,11
116,Bojonegoro,11
117,Bondowoso,11
118,Gresik,11
119,Jember,11
120,Jombang,11
121,Kediri,11
122,Lamongan,11
123,Lumajang,11
124,Madiun,11
125,Magetan,11
126,Malang,11
127,Mojokerto,11
128,Nganjuk,11
129,Ngawi,11
130,Pacitan,11
131,Pamekasan,11
132,Pasuruan,11
133,Ponorogo,11
134,Probolinggo,11
135,Sampang,11
136,Sidoarjo,11
137,Situbondo,11
138,Sumenep,11
139,Surabaya,11
140,Trenggalek,11
141,Tuban,11
142,Tulungagung,11
143,Bengkayang,12
144,Kapuas Hulu,12
145,Kayong Utara,12
146,Ketapang,12
147,Kubu Raya,12
148,Landak,12
149,Melawi,12
150,Mempawah,12
151,Pontianak,12
152,Sambas,12
153,Sanggau,12
154,Sekadau,12
155,Singkawang,12
156,Sintang,12
157,Balangan,13
158,Banjarbaru,13
159,Banjarmasin,13
160,Barito Kuala,13
161,Hulu Sungai Selatan,13
162,Hulu Sungai Tengah,13
163,Hulu Sungai Utara,13
164,Kotabaru,13
165,Tabalong,13
166,Tanah Bumbu,13
167,Tanah Laut,13
168,Tapin,13
169,Barito Selatan,14
170,Barito Timur,14
171,Barito Utara,14
